blueWins,blueWardsPlaced,blueWardsDestroyed,blueFirstBlood,blueKills,blueDeaths,blueAssists,blueEliteMonsters,blueDragons,blueHeralds,blueTowersDestroyed,blueTotalGold,blueAvgLevel,blueTotalMinionsKilled,blueTotalJungleMinionsKilled,blueGoldDiff,blueExperienceDiff,redWardsPlaced,redWardsDestroyed,redAssists,redEliteMonsters,redDragons,redHeralds,redTowersDestroyed,redTotalGold,redAvgLevel,redTotalMinionsKilled,redTotalJungleMinionsKilled
0,28,2,1,9,6,11,0,0,0,0,17210,6.6,195,36,643,-8,15,6,8,0,0,0,0,16567,6.8,197,55
0,15,0,0,7,11,4,1,1,0,0,16113,6.4,186,46,-1172,-1033,15,3,14,0,0,0,0,17285,6.8,203,28
0,43,1,0,4,5,5,1,0,1,0,15157,7,201,55,-1321,-7,15,2,10,0,0,0,0,16478,7,235,47
0,75,4,0,6,6,6,0,0,0,0,16400,7,210,57,-1004,230,17,2,7,1,1,0,0,17404,7,225,67
1,18,0,0,5,3,6,1,1,0,0,15899,7,225,42,698,101,36,5,2,0,0,0,0,15201,7,221,59
1,18,3,1,7,6,7,1,1,0,0,16874,6.8,225,53,2411,1563,57,1,9,0,0,0,0,14463,6.4,164,35
0,16,2,0,5,13,3,0,0,0,0,15305,6.4,209,48,-2615,-800,15,0,11,1,1,0,0,17920,6.6,157,54
0,16,3,0,7,7,8,0,0,0,0,16401,7.2,189,61,-1979,-771,15,2,5,2,1,1,0,18380,7.2,240,53
1,13,1,1,4,5,5,1,1,0,0,15057,6.8,220,39,-1548,-1574,16,2,4,0,0,0,0,16605,6.8,247,43
0,20,3,1,4,4,6,0,0,0,0,15474,6.6,231,28,331,-1585,15,2,5,1,1,0,0,15143,7.2,216,51
0,33,2,1,11,11,7,1,0,1,0,16695,7,157,40,-1505,-635,17,1,9,0,0,0,0,18200,7,188,52
1,18,1,1,7,1,11,1,1,0,0,17865,7.4,238,53,3274,1659,12,1,1,0,0,0,0,14591,6.8,240,50
0,14,3,0,4,9,1,1,0,1,0,14979,6.6,210,52,-3414,-1141,20,3,11,0,0,0,0,18393,7.2,229,51
0,17,1,0,3,7,3,0,0,0,0,15015,6.8,209,53,-1996,-1804,18,3,13,0,0,0,0,17011,7.2,237,51
1,14,1,1,10,2,8,0,0,0,0,19733,7.6,263,56,5228,3378,13,2,2,1,1,0,0,14505,6.8,210,64
1,21,4,1,5,4,11,0,0,0,0,16282,6.8,213,49,882,512,19,3,3,2,1,1,0,15400,6.6,228,52
0,11,3,0,5,9,5,0,0,0,0,14994,7,188,48,-3155,-2773,15,1,9,0,0,0,0,18149,7.4,219,56
1,14,3,1,11,6,15,1,1,0,0,18606,7.2,214,45,2526,1625,12,2,4,0,0,0,0,16080,7,225,48
0,13,1,0,4,13,5,0,0,0,0,15878,6.8,203,43,-2835,-2821,15,3,14,1,1,0,0,18713,7.2,209,45
0,17,2,0,4,6,3,0,0,0,0,15773,7,238,56,-1254,-567,16,3,10,1,1,0,0,17027,7,231,60
1,33,3,0,6,9,10,0,0,0,0,16515,6.8,208,45,-1020,493,18,3,13,0,0,0,0,17535,6.6,197,36
0,17,1,0,4,8,4,0,0,0,0,15415,6.2,204,44,-2472,-1067,19,2,13,1,1,0,0,17887,7,221,36
1,18,1,0,8,6,9,1,1,0,0,17178,7,209,44,1260,-55,10,3,3,0,0,0,0,15918,6.8,233,36
0,19,3,1,7,4,9,0,0,0,0,17226,7,228,61,1857,2015,14,4,2,1,1,0,0,15369,6.6,202,49
0,18,5,0,3,8,2,1,1,0,0,14905,6.8,233,52,-3282,-1647,18,3,12,0,0,0,0,18187,7.4,225,52
1,22,7,1,9,4,10,1,1,0,0,18132,7,228,40,2883,2111,21,4,2,0,0,0,0,15249,6.2,227,36
1,17,4,1,5,2,6,2,1,1,0,16053,6.8,218,51,1703,1696,15,2,2,0,0,0,0,14350,6.4,206,48
0,12,3,0,6,4,7,0,0,0,0,16438,6.8,203,32,608,-85,19,2,4,1,1,0,0,15830,6.8,206,44
0,15,2,1,5,4,4,0,0,0,0,15634,6.8,201,45,71,-359,14,1,4,1,1,0,0,15563,6.8,222,38
1,40,2,0,6,4,4,0,0,0,0,16085,7.4,204,56,275,872,15,1,5,1,1,0,0,15810,7.2,223,62
0,24,3,0,3,4,6,0,0,0,0,14981,6.8,235,52,-809,638,17,2,7,2,1,1,0,15790,6.8,218,50
0,20,2,1,5,6,4,1,0,1,0,15665,6.8,203,48,-1730,-1236,40,4,6,1,1,0,0,17395,7,214,67
0,11,3,0,7,9,5,1,0,1,0,17528,7.2,234,68,-904,1377,18,1,9,1,1,0,0,18432,7,227,40
0,28,3,0,4,11,3,0,0,0,0,15483,6.8,222,48,-3025,-1833,41,0,16,1,1,0,0,18508,7.2,213,39
1,36,1,0,10,6,12,0,0,0,0,19226,7.4,231,44,3004,2300,16,2,7,0,0,0,0,16222,7,185,39
1,18,3,0,9,6,14,1,1,0,0,16945,6.8,204,36,1574,761,17,2,6,0,0,0,0,15371,6.8,194,54
0,18,4,1,3,4,2,1,0,1,0,15888,7.4,252,60,16,433,39,4,2,1,1,0,0,15872,7,243,49
1,14,4,1,11,2,9,0,0,0,0,19250,7.6,251,48,5096,3310,15,3,2,0,0,0,0,14154,6.4,196,53
1,15,2,0,2,3,2,1,0,1,0,13978,6.6,180,44,-977,-1025,12,4,1,0,0,0,0,14955,6.8,218,56
0,16,1,0,5,5,8,0,0,0,0,15851,6.8,206,56,-808,-1655,38,6,6,0,0,0,0,16659,7.2,241,44
0,14,0,0,7,9,5,0,0,0,0,16474,6.6,209,50,-1559,-407,22,4,13,1,1,0,0,18033,6.8,206,53
1,18,0,0,6,8,6,0,0,0,0,16590,7,213,49,544,75,12,1,7,0,0,0,0,16046,7,182,44
1,22,4,1,5,2,2,2,1,1,0,15737,7,217,53,1381,1017,16,3,1,0,0,0,0,14356,7,212,60
1,37,2,1,5,3,5,0,0,0,0,16990,7.4,248,54,2031,1449,15,1,5,1,1,0,0,14959,7,210,68
0,14,4,0,3,3,2,1,1,0,0,15297,7,246,56,131,370,20,2,1,0,0,0,0,15166,7.2,227,64
0,16,2,0,4,10,4,1,0,1,0,15651,7,224,53,-2699,-2749,30,2,11,1,1,0,0,18350,7.4,201,54
0,17,0,1,5,7,7,1,1,0,0,15587,6.8,181,63,-1672,-2698,14,0,6,0,0,0,0,17259,7.4,218,76
1,19,3,1,10,6,11,1,1,0,0,17777,7.2,213,42,1201,316,18,4,5,0,0,0,0,16576,6.8,234,44
1,29,3,1,7,5,5,2,1,1,0,16426,7,222,55,-108,59,14,4,4,0,0,0,0,16534,6.8,247,44
0,18,4,0,2,7,0,0,0,0,0,13791,6.6,191,62,-2262,-1391,18,3,4,1,1,0,0,16053,6.8,218,48
0,24,3,0,6,7,5,0,0,0,0,16505,7,208,70,-49,500,17,2,10,1,1,0,0,16554,6.8,207,45
1,18,2,1,6,4,4,1,1,0,0,17277,7.2,229,54,1687,1089,36,3,5,1,0,1,0,15590,7.2,232,56
0,12,4,0,4,10,3,1,1,0,0,14166,6.6,203,41,-4061,-4397,16,2,6,0,0,0,0,18227,7.4,224,72
0,19,2,0,4,5,2,0,0,0,0,15180,7,210,52,-1705,-1839,11,4,1,0,0,0,0,16885,7.2,227,62
0,32,4,1,7,8,8,1,1,0,0,16179,6.8,212,46,105,-1547,24,5,5,1,0,1,0,16074,7,200,42
1,14,0,0,3,5,3,0,0,0,0,16026,7,233,57,-554,521,11,1,6,1,1,0,0,16580,6.8,234,44
0,19,5,1,4,5,4,0,0,0,0,14850,6.8,198,53,-1037,-1577,18,4,5,1,1,0,0,15887,7,241,44
1,36,0,1,5,4,6,0,0,0,0,15887,6.8,200,32,1173,953,12,1,3,1,1,0,0,14714,6.6,186,63
0,18,2,1,8,2,11,0,0,0,0,17399,7,232,44,3194,2534,13,3,2,1,1,0,0,14205,6.6,208,51
0,13,3,1,2,7,1,1,1,0,0,13828,6.6,204,38,-2622,-1136,12,0,7,0,0,0,0,16450,6.8,192,36
1,15,3,1,6,4,4,1,1,0,0,16645,7.2,242,52,1151,470,15,2,3,1,0,1,0,15494,7,205,50
1,50,4,1,6,4,8,2,1,1,0,16248,6.8,200,52,1463,1490,48,2,8,0,0,0,0,14785,6.6,169,52
0,14,2,0,4,6,1,0,0,0,0,15310,7,221,52,-1038,-1307,15,2,5,2,1,1,0,16348,7.2,226,66
1,17,2,1,8,4,7,1,0,1,0,16784,6.6,212,40,1424,1060,13,4,5,0,0,0,0,15360,6.4,180,61
1,18,1,0,13,9,18,1,1,0,0,19032,7.4,232,44,527,721,12,4,5,0,0,0,0,18505,7,216,63
0,17,5,0,7,6,12,0,0,0,0,17518,7.2,242,46,1807,932,52,4,9,2,1,1,0,15711,6.8,198,60
0,43,6,1,11,4,12,1,0,1,0,18976,7.4,256,43,2856,1262,16,0,6,1,1,0,0,16120,7.2,210,72
0,12,1,0,6,6,10,1,1,0,0,16143,6.6,204,56,-964,-2454,13,1,3,1,0,1,0,17107,7,241,56
0,20,2,0,7,8,6,1,0,1,0,15868,7,199,51,-178,524,42,7,6,1,1,0,0,16046,6.8,178,47
1,18,3,0,9,8,7,1,1,0,0,17977,7,235,41,705,192,16,0,8,0,0,0,0,17272,7,207,44
1,16,0,0,10,10,14,1,1,0,0,18138,7,208,55,908,306,15,1,16,0,0,0,0,17230,7,210,44
1,14,2,0,7,2,12,2,1,1,0,18025,7.2,261,68,3558,3243,25,0,3,0,0,0,0,14467,6.8,220,56
0,12,6,0,1,6,0,0,0,0,0,14625,6.8,241,56,-1299,-49,53,1,3,1,1,0,0,15924,7,218,47
1,16,4,0,5,8,7,1,1,0,0,15752,6.6,201,48,-1763,-1864,19,2,6,0,0,0,0,17515,7.2,248,40
1,15,0,0,10,4,12,0,0,0,0,18480,7.4,232,64,2547,2189,12,1,4,0,0,0,0,15933,6.6,247,41
0,13,3,0,3,10,2,1,1,0,0,14995,6.6,210,53,-3685,-3119,20,3,13,1,0,1,0,18680,7.4,200,67
0,17,4,1,3,5,2,0,0,0,0,15562,7.2,236,73,-764,803,33,4,6,2,1,1,0,16326,6.8,233,46
1,16,3,1,9,2,5,0,0,0,0,17139,7.2,223,51,3037,2694,14,2,2,1,1,0,0,14102,6.6,213,41
0,14,2,0,7,7,10,1,1,0,0,16972,7.2,209,48,-1031,-394,16,4,7,0,0,0,0,18003,7.4,255,60
0,17,1,0,5,10,6,0,0,0,0,16249,7,213,59,-1796,-749,16,2,15,1,1,0,0,18045,7,214,44
1,16,6,1,5,4,9,0,0,0,0,16415,6.8,247,37,1626,747,17,2,5,1,1,0,0,14789,7,203,51
1,40,1,0,6,8,10,1,0,1,0,18012,7.2,250,70,832,1330,12,1,11,1,1,0,0,17180,7,186,48
1,16,0,0,11,6,11,2,1,1,0,19294,7.4,242,52,2750,2647,14,2,9,0,0,0,0,16544,7,203,52
0,16,1,0,5,8,4,1,0,1,0,15383,6.8,227,28,-1524,-827,11,3,11,0,0,0,0,16907,7,186,39
0,16,4,1,6,8,2,1,1,0,0,15777,6.6,224,53,-1370,-875,20,2,9,0,0,0,0,17147,7,210,36
